partychoice,female,union,leftright,age
Social Democrats,1,4,2,27
Left Party,0,3,2,54
Liberals,1,4,2,58
Conservatives,0,4,4,58
Conservatives,0,4,4,42
Left Party,1,2,1,65
Social Democrats,0,1,2,79
Social Democrats,1,1,4,60
Liberals,0,4,3,54
Conservatives,1,4,4,75
Social Democrats,1,1,2,54
Conservatives,0,4,5,40
Liberals,1,4,4,62
Social Democrats,0,1,2,57
Liberals,0,4,3,20
Conservatives,1,4,4,24
Social Democrats,0,4,3,35
Social Democrats,0,3,2,49
Liberals,0,2,3,50
Conservatives,1,3,4,53
Left Party,0,1,3,43
Left Party,1,1,2,39
Liberals,1,4,3,29
Left Party,0,4,2,40
Social Democrats,1,4,3,72
Conservatives,0,4,4,26
Conservatives,1,2,4,54
Left Party,0,1,1,46
Conservatives,0,4,4,29
Left Party,1,4,2,51
Social Democrats,0,1,2,39
Liberals,1,4,4,20
Conservatives,0,3,4,77
Conservatives,0,4,5,29
Conservatives,0,4,4,38
Social Democrats,1,4,1,42
Social Democrats,0,2,2,62
Conservatives,0,2,3,48
Liberals,0,4,4,19
Social Democrats,1,4,3,30
Left Party,1,4,1,25
Left Party,1,1,3,26
Liberals,1,4,2,23
Liberals,1,3,4,60
Conservatives,0,4,4,23
Social Democrats,0,4,3,22
Social Democrats,1,4,2,33
Conservatives,0,4,5,32
Liberals,0,4,4,29
Left Party,1,1,2,31
Left Party,1,1,1,46
Social Democrats,1,2,4,31
Social Democrats,1,3,2,28
Social Democrats,0,4,4,20
Social Democrats,1,1,3,49
Liberals,0,4,4,31
Conservatives,0,3,5,35
Social Democrats,1,2,2,30
Social Democrats,1,4,3,22
Social Democrats,1,4,2,52
Social Democrats,0,2,2,54
Liberals,1,3,4,49
Liberals,1,4,4,27
Liberals,1,2,4,25
Liberals,1,4,4,84
Conservatives,0,4,4,58
Conservatives,1,2,4,57
Conservatives,0,4,5,23
Liberals,1,2,4,28
Conservatives,0,4,4,60
Conservatives,0,4,5,60
Liberals,0,1,4,63
Social Democrats,1,1,1,37
Liberals,1,4,3,17
Social Democrats,1,1,3,62
Liberals,1,4,4,41
Liberals,1,2,3,48
Liberals,1,4,4,72
Conservatives,1,4,4,53
Liberals,1,2,3,36
Social Democrats,1,2,2,63
Liberals,0,4,4,53
Social Democrats,0,4,3,47
Liberals,0,3,3,56
Conservatives,0,4,4,17
Liberals,0,3,4,48
Liberals,0,4,3,65
Conservatives,1,4,5,59
Conservatives,1,4,5,35
Conservatives,1,4,5,54
Conservatives,1,4,5,59
Conservatives,1,4,5,72
Liberals,0,4,5,45
Liberals,1,4,3,58
Liberals,0,1,4,59
Liberals,1,3,4,64
Social Democrats,0,4,3,54
Liberals,1,3,3,57
Conservatives,0,2,5,46
Conservatives,0,4,5,72
Conservatives,1,1,3,54
Conservatives,0,3,5,54
Conservatives,0,4,5,31
Conservatives,1,4,3,29
Conservatives,1,4,4,45
Liberals,1,4,5,40
Liberals,0,3,4,45
Conservatives,1,4,5,26
Social Democrats,0,2,2,52
Social Democrats,0,2,1,46
Social Democrats,0,2,3,50
Conservatives,0,4,4,60
Conservatives,0,4,4,71
Conservatives,1,3,5,56
Liberals,0,2,4,63
Liberals,0,4,4,28
Conservatives,1,3,5,22
Conservatives,0,4,4,71
Conservatives,1,4,5,58
Social Democrats,1,1,1,71
Social Democrats,1,2,3,54
Liberals,1,4,4,23
Conservatives,0,3,4,48
Conservatives,0,4,5,53
Left Party,0,2,1,66
Conservatives,0,4,4,47
Conservatives,0,3,4,56
Social Democrats,0,4,3,47
Conservatives,0,2,5,49
Conservatives,0,3,4,61
Liberals,0,4,3,36
Liberals,1,4,4,65
Social Democrats,0,2,1,78
Liberals,0,4,4,71
Liberals,1,4,3,42
Liberals,1,4,3,53
Left Party,1,4,2,60
Social Democrats,1,4,4,68
Social Democrats,1,1,3,39
Social Democrats,1,2,3,60
Conservatives,1,4,4,84
Conservatives,1,4,5,70
Liberals,1,4,4,47
Conservatives,1,4,5,33
Social Democrats,0,2,3,58
Liberals,1,4,3,20
Social Democrats,1,3,4,36
Conservatives,0,3,5,25
Conservatives,0,4,4,24
Conservatives,1,4,4,18
Social Democrats,1,2,2,49
Liberals,1,2,4,58
Social Democrats,1,1,2,25
Liberals,1,2,4,46
Conservatives,0,4,5,68
Conservatives,1,2,5,55
Conservatives,0,4,4,60
Conservatives,0,4,5,64
Liberals,0,3,3,49
Conservatives,1,4,5,58
Conservatives,0,3,5,37
Left Party,1,2,1,54
Social Democrats,1,3,2,53
Conservatives,1,4,5,49
Conservatives,1,3,4,47
Social Democrats,0,3,2,45
Conservatives,1,4,5,85
Conservatives,1,2,4,55
Social Democrats,1,2,1,63
Conservatives,1,4,4,26
Social Democrats,1,2,3,49
Conservatives,1,4,4,66
Conservatives,0,4,4,41
Social Democrats,1,2,2,31
Conservatives,0,3,4,30
Liberals,1,4,4,63
Social Democrats,0,4,3,49
Social Democrats,0,2,2,32
Conservatives,0,3,5,54
Liberals,1,4,4,18
Liberals,0,2,3,29
Social Democrats,1,4,2,24
Conservatives,0,4,4,26
Conservatives,0,2,4,32
Liberals,1,4,4,59
Social Democrats,1,4,1,18
Liberals,0,4,3,25
Conservatives,0,2,4,55
Liberals,0,2,3,49
Liberals,1,2,3,31
Social Democrats,1,3,1,24
Social Democrats,0,1,1,52
Left Party,1,4,1,20
Left Party,0,4,2,37
Left Party,1,1,2,40
Conservatives,0,2,4,28
Liberals,1,4,3,37
Liberals,0,2,3,55
Conservatives,1,4,5,66
Left Party,1,1,2,51
Liberals,1,2,4,28
Conservatives,1,4,5,19
Social Democrats,0,2,2,22
Conservatives,0,4,5,22
Liberals,0,3,4,31
Social Democrats,1,3,1,41
Conservatives,0,4,4,53
Liberals,0,3,4,42
Conservatives,1,1,4,63
Conservatives,0,3,4,64
Social Democrats,0,2,2,31
Left Party,0,1,2,47
Conservatives,1,3,5,46
Left Party,1,4,2,18
Left Party,1,1,2,48
Left Party,1,1,1,52
Social Democrats,1,3,3,28
Conservatives,0,4,5,32
Social Democrats,1,2,2,31
Social Democrats,1,1,2,53
Liberals,1,4,4,27
Social Democrats,1,4,4,29
Conservatives,1,2,4,27
Social Democrats,1,2,5,35
Social Democrats,0,3,3,36
Social Democrats,1,4,3,34
Liberals,1,2,4,26
Liberals,0,4,4,67
Liberals,1,4,4,23
Left Party,0,4,1,39
Conservatives,1,3,4,30
Liberals,0,4,4,24
Liberals,1,3,3,47
Liberals,0,3,3,50
Social Democrats,1,2,2,53
Social Democrats,1,4,2,23
Social Democrats,1,2,4,37
Social Democrats,1,4,3,58
Social Democrats,0,1,3,35
Left Party,1,3,2,51
Social Democrats,0,2,3,55
Social Democrats,1,2,1,31
Conservatives,0,4,4,60
Conservatives,1,2,4,57
Liberals,1,2,3,27
Liberals,0,4,4,39
Conservatives,0,4,5,51
Liberals,1,4,3,49
Conservatives,1,2,5,60
Conservatives,0,1,4,37
Social Democrats,0,1,1,38
Social Democrats,1,4,3,36
Liberals,0,3,2,24
Social Democrats,1,4,3,60
Social Democrats,1,1,2,28
Liberals,1,3,4,52
Conservatives,0,1,4,45
Social Democrats,1,4,1,21
Conservatives,0,4,5,29
Conservatives,1,3,5,39
Social Democrats,1,2,2,47
Conservatives,1,2,5,51
Social Democrats,1,4,4,30
Liberals,0,2,4,80
Social Democrats,1,2,3,74
Social Democrats,1,4,2,78
Social Democrats,0,3,3,43
Social Democrats,0,4,4,69
Conservatives,1,4,4,24
Liberals,1,4,5,78
Liberals,0,4,4,61
Social Democrats,1,1,3,36
Conservatives,1,4,5,37
Liberals,1,1,4,51
Conservatives,1,4,5,27
Social Democrats,0,4,3,17
Social Democrats,0,3,2,54
Conservatives,0,4,4,21
Liberals,1,3,3,58
Liberals,1,4,4,50
Social Democrats,0,4,2,61
Liberals,1,4,3,53
Liberals,0,4,3,63
Liberals,0,4,3,70
Social Democrats,1,2,2,41
Conservatives,0,2,4,34
Conservatives,1,3,5,45
Social Democrats,1,4,3,70
Social Democrats,0,3,1,60
Conservatives,0,4,4,28
Conservatives,0,4,5,52
Social Democrats,0,4,3,88
Liberals,1,4,4,24
Liberals,0,2,4,58
Conservatives,0,4,4,18
Social Democrats,1,4,2,19
Social Democrats,0,4,4,39
Liberals,0,4,3,31
Liberals,1,4,4,26
Social Democrats,1,2,2,59
Left Party,0,1,1,19
Liberals,0,4,4,18
Conservatives,0,4,3,35
Social Democrats,1,1,2,21
Liberals,1,2,4,57
Social Democrats,0,4,2,29
Social Democrats,1,4,1,24
Conservatives,1,3,3,26
Social Democrats,0,4,2,20
Social Democrats,1,2,3,54
Social Democrats,1,4,2,17
Social Democrats,1,2,3,62
Conservatives,1,4,4,21
Left Party,1,4,1,24
Social Democrats,0,3,3,53
Conservatives,1,4,5,77
Left Party,1,4,3,21
Social Democrats,1,2,2,56
Conservatives,0,4,5,34
Conservatives,1,2,4,54
Conservatives,1,4,5,22
Conservatives,0,4,5,34
Social Democrats,0,1,1,65
Liberals,0,3,4,50
Conservatives,0,4,5,62
Left Party,1,2,2,49
Left Party,1,1,2,58
Liberals,0,2,2,57
Conservatives,0,4,4,46
Conservatives,1,2,5,63
Social Democrats,0,4,2,17
Conservatives,0,4,5,27
Social Democrats,1,1,4,63
Social Democrats,1,1,1,21
Left Party,0,4,1,24
Social Democrats,1,2,2,28
Conservatives,0,4,5,37
Left Party,1,4,1,21
Liberals,1,3,3,41
Social Democrats,0,4,2,75
Liberals,1,1,5,61
Conservatives,0,4,5,77
Conservatives,1,4,4,21
Social Democrats,1,4,2,22
Left Party,0,4,2,24
Liberals,0,2,4,62
Social Democrats,0,3,3,26
Conservatives,1,4,4,68
Conservatives,0,4,5,64
Liberals,1,4,3,21
Social Democrats,1,2,4,31
Social Democrats,0,2,3,33
Social Democrats,0,3,2,54
Social Democrats,0,1,2,34
Social Democrats,1,3,3,25
Conservatives,0,4,3,44
Conservatives,0,4,3,41
Social Democrats,1,2,1,21
Social Democrats,0,1,2,56
Left Party,0,4,1,23
Conservatives,0,1,3,37
Social Democrats,1,2,3,63
Liberals,0,3,4,27
Left Party,1,3,1,51
Conservatives,0,4,4,72
Social Democrats,1,4,3,47
Liberals,0,4,3,67
Social Democrats,1,2,2,45
Left Party,0,4,1,24
Left Party,1,1,3,24
Social Democrats,0,2,1,69
Social Democrats,0,2,4,46
Conservatives,0,2,5,25
Social Democrats,1,4,3,64
Social Democrats,1,3,2,35
Liberals,0,4,4,61
Conservatives,0,4,4,18
Conservatives,0,2,3,60
Liberals,0,2,4,27
Liberals,1,2,3,66
Social Democrats,0,3,3,28
Liberals,1,3,3,48
Liberals,0,4,5,42
Liberals,0,2,4,56
Conservatives,1,3,4,32
Social Democrats,1,4,2,18
Conservatives,0,4,3,23
Conservatives,1,4,4,31
Social Democrats,1,4,3,45
Social Democrats,1,4,2,22
Conservatives,1,4,4,42
Liberals,0,2,4,35
Social Democrats,1,4,2,23
Social Democrats,0,4,3,59
Social Democrats,1,1,3,32
Liberals,1,3,4,31
Social Democrats,0,2,2,41
Liberals,1,4,4,31
Liberals,1,2,4,39
Conservatives,0,3,4,32
Left Party,1,4,2,20
Social Democrats,0,2,2,24
Social Democrats,1,1,3,32
Liberals,1,2,4,47
Liberals,1,3,4,33
Left Party,1,3,3,32
Social Democrats,1,2,3,28
Conservatives,0,3,5,24
Social Democrats,1,4,3,80
Conservatives,1,4,3,57
Liberals,1,3,4,29
Social Democrats,0,4,3,32
Conservatives,1,4,4,52
Social Democrats,1,4,4,31
Social Democrats,1,4,2,24
Left Party,1,2,1,51
Social Democrats,1,1,2,24
Liberals,0,3,3,34
Social Democrats,0,4,2,41
Social Democrats,0,1,2,34
Left Party,1,2,2,23
Social Democrats,0,4,3,74
Social Democrats,1,4,2,43
Left Party,1,2,2,50
Left Party,1,1,1,24
Social Democrats,0,1,1,36
Liberals,1,4,3,51
Liberals,0,2,3,53
Conservatives,0,4,5,18
Social Democrats,1,1,2,44
Conservatives,1,2,4,36
Left Party,1,1,2,48
Conservatives,1,4,3,31
Conservatives,1,3,4,58
Liberals,0,2,5,25
Social Democrats,0,1,3,26
Conservatives,0,2,4,53
Liberals,1,3,4,32
Social Democrats,1,3,2,29
Social Democrats,1,4,3,43
Conservatives,0,4,3,28
Liberals,0,1,4,23
Social Democrats,0,1,3,39
Social Democrats,1,4,3,74
Social Democrats,0,4,2,23
Left Party,1,4,1,19
Social Democrats,0,1,3,58
Conservatives,0,4,4,25
Social Democrats,0,1,3,32
Conservatives,0,4,4,40
Social Democrats,1,4,2,29
Conservatives,0,4,5,56
Conservatives,1,4,3,56
Conservatives,0,2,4,31
Social Democrats,0,4,2,51
Left Party,0,4,2,50
Social Democrats,1,1,1,37
Liberals,0,2,4,67
Social Democrats,1,4,3,66
Left Party,1,2,2,48
Liberals,0,4,3,53
Conservatives,1,4,5,47
Social Democrats,0,1,2,23
Social Democrats,0,3,3,52
Left Party,1,2,2,60
Conservatives,0,2,4,46
Conservatives,1,4,4,41
Liberals,0,4,5,28
Conservatives,0,2,5,44
Social Democrats,0,1,2,46
Conservatives,1,1,4,47
Liberals,1,4,3,24
Social Democrats,0,1,3,60
Conservatives,0,3,4,45
Social Democrats,1,4,3,39
Liberals,0,4,4,33
Social Democrats,1,3,1,28
Social Democrats,1,4,3,17
Conservatives,0,2,4,50
Social Democrats,0,2,3,42
Liberals,1,4,3,47
Social Democrats,1,4,3,35
Social Democrats,1,4,3,34
Social Democrats,0,4,2,68
Social Democrats,1,1,2,22
Left Party,0,3,2,29
Social Democrats,1,2,2,51
Left Party,1,3,1,29
Conservatives,0,3,4,37
Social Democrats,0,2,3,57
Social Democrats,1,2,3,53
Liberals,1,4,4,55
Conservatives,1,2,5,41
Social Democrats,0,3,2,44
Social Democrats,1,1,3,36
Social Democrats,1,3,3,43
Social Democrats,0,3,2,48
Social Democrats,0,2,3,49
Social Democrats,1,1,3,49
Social Democrats,0,2,2,57
Social Democrats,0,4,3,33
Social Democrats,1,1,1,28
Left Party,0,1,1,37
Left Party,0,4,2,65
Conservatives,1,1,3,55
Conservatives,0,4,5,56
Social Democrats,1,2,2,54
Social Democrats,1,1,3,23
Social Democrats,0,1,2,30
Left Party,1,1,2,49
Social Democrats,0,1,3,29
Social Democrats,1,1,2,74
Social Democrats,0,3,2,84
Left Party,1,2,2,36
Social Democrats,1,1,2,60
Left Party,0,1,1,58
Social Democrats,1,1,4,55
Social Democrats,0,1,4,56
Liberals,0,1,3,77
Left Party,1,4,1,77
Conservatives,1,4,5,61
Conservatives,0,4,5,27
Conservatives,0,4,5,54
Social Democrats,1,3,1,83
Liberals,1,4,3,64
Social Democrats,0,4,3,66
Liberals,1,4,5,77
Left Party,1,1,2,71
Conservatives,0,4,4,70
Liberals,1,4,3,67
Left Party,1,1,2,67
Conservatives,1,4,4,48
Left Party,1,4,2,36
Liberals,0,4,5,68
Liberals,1,2,3,56
Social Democrats,0,2,1,82
Social Democrats,0,4,1,80
Social Democrats,0,1,4,24
Social Democrats,1,4,3,22
Conservatives,0,4,5,72
Conservatives,1,4,4,75
Left Party,1,3,1,37
Conservatives,1,1,4,40
Social Democrats,1,1,2,44
Left Party,0,2,1,27
Liberals,1,4,4,48
Social Democrats,0,2,4,55
Social Democrats,0,2,2,51
Social Democrats,1,4,1,69
Social Democrats,1,1,1,31
Social Democrats,1,1,1,23
Conservatives,1,2,4,66
Conservatives,0,1,4,36
Left Party,1,1,2,55
Social Democrats,0,1,2,57
Conservatives,1,3,4,61
Social Democrats,0,2,2,51
Social Democrats,1,4,3,21
Liberals,1,4,5,40
Social Democrats,1,4,3,75
Left Party,0,1,3,40
Social Democrats,0,4,2,28
Left Party,1,4,1,20
Social Democrats,0,3,2,49
Liberals,1,2,3,51
Social Democrats,1,4,2,56
Conservatives,0,2,3,39
Liberals,0,2,4,30
Conservatives,0,1,4,44
Conservatives,1,4,5,32
Social Democrats,1,1,1,41
Social Democrats,0,4,3,29
Social Democrats,0,1,2,60
Conservatives,0,2,5,48
Conservatives,0,2,5,28
Social Democrats,0,4,2,75
Social Democrats,1,4,2,68
Left Party,0,4,1,30
Social Democrats,1,1,2,43
Liberals,1,3,3,25
Social Democrats,0,2,2,45
Conservatives,0,4,5,59
Liberals,1,3,4,29
Social Democrats,0,4,2,18
Conservatives,0,4,5,28
Conservatives,1,4,4,68
Social Democrats,1,4,1,20
Social Democrats,1,2,3,54
Left Party,1,3,2,22
Liberals,0,2,4,35
Conservatives,0,1,4,53
Social Democrats,1,1,3,59
Conservatives,0,4,4,42
Social Democrats,1,4,3,18
Social Democrats,1,2,2,42
Conservatives,0,2,5,26
Conservatives,1,2,5,41
Social Democrats,0,4,3,43
Conservatives,1,1,5,57
Social Democrats,1,4,2,26
Liberals,1,4,3,20
Social Democrats,0,2,3,84
Social Democrats,1,4,2,20
Left Party,1,1,2,30
Conservatives,0,4,4,28
Liberals,0,4,2,17
Liberals,0,4,4,31
Left Party,1,4,1,25
Conservatives,1,1,3,62
Liberals,1,4,4,36
Liberals,0,4,3,57
Liberals,0,4,5,38
Social Democrats,1,2,3,41
Conservatives,1,3,5,28
Conservatives,0,2,4,28
Social Democrats,0,2,3,46
Liberals,1,4,4,24
Liberals,0,4,4,18
Left Party,1,4,2,18
Conservatives,0,4,5,22
Conservatives,1,4,4,25
Left Party,1,4,1,24
Liberals,0,4,3,28
Social Democrats,1,4,3,43
Liberals,1,2,4,47
Social Democrats,0,2,3,49
Left Party,1,3,1,38
Left Party,0,2,2,45
Social Democrats,1,3,3,31
Social Democrats,1,3,2,60
Conservatives,1,2,4,52
Conservatives,0,4,4,18
Conservatives,0,4,5,37
Conservatives,1,2,4,57
Liberals,0,4,4,62
Left Party,1,1,2,32
Conservatives,0,4,4,41
Conservatives,0,1,4,59
Conservatives,0,2,4,38
Conservatives,1,4,4,55
Conservatives,0,4,4,32
Left Party,1,2,1,48
Social Democrats,1,1,3,46
Conservatives,0,3,4,59
Conservatives,0,4,5,33
Conservatives,0,2,4,41
Liberals,0,2,4,41
Conservatives,0,4,4,38
Social Democrats,1,3,4,30
Conservatives,0,4,5,32
Liberals,1,2,4,31
Social Democrats,1,2,3,58
Conservatives,0,4,4,38
Conservatives,0,4,4,18
Liberals,0,4,3,48
Social Democrats,1,1,1,41
Social Democrats,1,4,4,44
Left Party,0,2,1,56
Liberals,0,4,5,34
Liberals,0,4,4,42
Social Democrats,0,1,2,53
Conservatives,0,2,4,60
Liberals,1,2,4,54
Conservatives,0,4,3,56
Liberals,0,4,4,37
Conservatives,1,4,5,34
Social Democrats,0,3,3,53
Conservatives,0,4,5,38
Conservatives,1,4,4,34
Social Democrats,0,3,1,56
Liberals,0,4,4,35
Liberals,0,4,4,40
Conservatives,0,3,5,62
Liberals,1,4,4,60
Conservatives,0,4,4,32
Conservatives,0,1,2,30
Social Democrats,1,3,3,43
Liberals,0,3,4,37
Social Democrats,0,2,2,46
Social Democrats,0,4,2,28
Liberals,0,1,3,39
Social Democrats,0,4,2,55
Left Party,1,2,1,46
Liberals,1,4,3,29
Social Democrats,0,2,2,62
Social Democrats,1,2,2,58
Social Democrats,1,1,1,59
Left Party,0,4,1,28
Social Democrats,0,2,2,62
Conservatives,0,4,5,59
Social Democrats,1,1,3,64
Liberals,0,4,3,33
Social Democrats,1,1,4,59
Conservatives,1,3,5,30
Social Democrats,1,4,3,89
Liberals,0,1,4,21
Conservatives,0,1,4,36
Social Democrats,1,3,2,58
Social Democrats,1,2,2,52
Conservatives,0,4,5,32
Social Democrats,1,4,3,46
Social Democrats,1,2,2,50
Left Party,0,4,1,17
Left Party,1,4,2,45
Social Democrats,1,1,2,53
Conservatives,1,1,4,39
Conservatives,0,4,4,31
Liberals,0,2,3,28
Conservatives,0,4,5,42
Conservatives,1,4,4,41
Social Democrats,0,2,2,48
Liberals,1,1,4,36
Liberals,1,2,5,31
Conservatives,0,4,5,32
Social Democrats,0,1,2,54
Conservatives,0,4,5,58
Liberals,1,3,3,30
Conservatives,0,2,4,30
Liberals,1,4,4,54
Liberals,0,4,4,58
Conservatives,0,4,4,50
Liberals,1,2,3,44
Social Democrats,0,1,3,55
Conservatives,0,4,4,40
Social Democrats,0,4,4,21
Social Democrats,0,4,4,17
Left Party,1,1,1,45
Conservatives,1,4,4,53
Social Democrats,1,4,2,62
Liberals,0,3,3,53
Social Democrats,1,2,3,59
Liberals,0,4,3,22
Conservatives,0,4,5,40
Left Party,1,1,1,19
Liberals,0,2,4,57
Social Democrats,1,1,2,43
Conservatives,1,4,4,27
Conservatives,1,4,4,28
Liberals,1,4,3,77
Conservatives,0,3,3,60
Conservatives,1,2,4,37
Conservatives,1,3,4,32
Conservatives,0,4,3,71
Social Democrats,1,4,2,71
Social Democrats,1,4,2,67
Conservatives,1,3,3,77
Liberals,0,3,3,77
Liberals,0,3,3,68
Liberals,1,2,4,54
Liberals,1,4,4,31
Conservatives,0,4,5,47
Social Democrats,1,4,2,31
Social Democrats,0,1,1,42
Conservatives,0,4,4,31
Liberals,1,4,4,25
Conservatives,1,4,4,23
Liberals,1,4,4,27
Liberals,1,2,4,51
Conservatives,1,4,5,84
Liberals,1,4,5,27
Conservatives,0,4,5,25
Liberals,0,4,4,61
Conservatives,0,4,5,22
Liberals,0,3,3,55
Liberals,0,4,3,54
Liberals,1,4,3,52
Conservatives,0,4,5,31
Liberals,1,2,3,52
Conservatives,0,3,5,37
Liberals,0,3,3,58
Conservatives,1,4,4,48
Conservatives,0,4,4,35
Liberals,1,1,3,27
Liberals,0,3,2,56
Conservatives,0,4,4,57
Conservatives,1,4,5,24
Conservatives,0,4,4,53
Conservatives,1,4,5,24
Liberals,1,3,2,37
Conservatives,0,3,4,57
Conservatives,1,4,5,56
Conservatives,1,4,5,26
Social Democrats,0,4,2,20
Conservatives,1,4,5,86
Liberals,1,4,5,31
Conservatives,1,4,4,83
Left Party,1,3,1,58
Social Democrats,0,3,3,42
Social Democrats,1,4,4,55
Conservatives,0,4,4,55
Social Democrats,1,3,2,29
Conservatives,0,4,5,40
Conservatives,0,4,4,19
Liberals,1,3,4,30
Conservatives,1,4,3,33
Conservatives,0,4,4,29
Liberals,1,4,3,41
Social Democrats,1,4,2,23
Liberals,0,4,4,85
Liberals,1,4,4,31
Conservatives,1,2,4,44
Conservatives,1,4,5,60
Social Democrats,0,4,4,27
Conservatives,0,4,4,50
Left Party,0,2,1,55
Left Party,0,4,1,35
Social Democrats,1,3,2,52
Conservatives,0,3,5,58
Social Democrats,0,4,2,67
Social Democrats,1,3,2,70
Left Party,0,2,1,52
Liberals,1,3,3,48
Left Party,0,4,1,76
Social Democrats,1,1,2,35
Liberals,0,1,3,38
Left Party,0,4,1,37
Liberals,0,2,3,52
Social Democrats,0,1,2,43
Conservatives,0,3,5,33
Social Democrats,1,1,2,55
Social Democrats,1,3,2,39
Social Democrats,0,3,3,46
Liberals,0,3,4,42
Liberals,1,3,4,37
Conservatives,0,1,4,21
Conservatives,0,4,5,34
Liberals,1,2,4,34
Liberals,1,3,3,49
Social Democrats,0,4,2,41
Conservatives,0,2,4,38
Social Democrats,0,2,2,57
Liberals,1,4,4,30
Left Party,0,2,1,55
Conservatives,1,4,5,30
Social Democrats,1,4,3,21
Social Democrats,1,3,2,36
Conservatives,0,4,5,33
Social Democrats,1,4,4,52
Left Party,0,3,2,37
Left Party,1,4,1,22
Left Party,1,4,1,55
Liberals,0,2,4,49
Liberals,0,4,3,32
Social Democrats,0,2,2,43
Social Democrats,0,2,1,56
Conservatives,1,3,5,31
Social Democrats,0,4,4,27
Left Party,1,3,1,53
Liberals,1,4,2,57
Social Democrats,1,3,4,34
Left Party,0,4,2,23
Conservatives,0,4,4,31
Liberals,1,2,3,39
Social Democrats,1,2,2,39
Social Democrats,1,2,1,51
Social Democrats,1,2,1,38
Social Democrats,1,1,2,39
Left Party,0,3,1,54
Left Party,1,4,2,46
Conservatives,0,4,3,28
Liberals,1,4,3,28
Conservatives,1,4,4,33
Conservatives,1,4,4,24
Social Democrats,1,3,3,27
Left Party,0,4,1,45
Social Democrats,0,4,4,34
Social Democrats,0,4,3,51
Liberals,1,4,3,58
Conservatives,1,4,4,25
Social Democrats,0,4,2,28
Liberals,1,3,4,58
Social Democrats,1,3,2,27
Social Democrats,0,2,1,28
Liberals,1,4,4,43
Social Democrats,1,2,2,59
Liberals,1,4,3,80
Liberals,1,4,4,33
Conservatives,0,4,4,36
Conservatives,0,4,4,57
Liberals,1,2,4,45
Left Party,1,3,1,45
